Name,Description,URL
freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,https://github.com/freeCodeCamp/freeCodeCamp
free-programming-books,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books
awesome,Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome
996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU
coding-interview-university,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university
public-apis,A collective list of free APIs,https://github.com/public-apis/public-apis
developer-roadmap,Interactive roadmaps guides and other educational content to help developers grow in their careers.,https://github.com/kamranahmedse/developer-roadmap
system-design-primer,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer
build-your-own-x,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x
react,The library for web and native user interfaces,https://github.com/facebook/react
vue,This is the repo for Vue 2. For Vue 3 go to https://github.com/vuejs/core,https://github.com/vuejs/vue
awesome-python,A curated list of awesome Python frameworks libraries software and resources,https://github.com/vinta/awesome-python
tensorflow,An Open Source Machine Learning Framework for Everyone,https://github.com/tensorflow/tensorflow
javascript-algorithms,Algorithms and data structures implemented in JavaScript with explanations and links to further readings,https://github.com/trekhleb/javascript-algorithms
You-Dont-Know-JS,A book series on JavaScript. @YDKJS on twitter.,https://github.com/getify/You-Dont-Know-JS
Python,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python
CS-Notes,:books: Leetcode,https://github.com/CyC2018/CS-Notes
bootstrap,The most popular HTML CSS and JavaScript framework for developing responsive mobile first projects on the web.,https://github.com/twbs/bootstrap
ohmyzsh,A delightful community-driven (with 2100+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails git macOS hub docker homebrew node php python etc) 140+ themes to spice up your morning and an auto-update tool so that makes it easy to keep up with the latest updates from the community.,https://github.com/ohmyzsh/ohmyzsh
linux,Linux kernel source tree,https://github.com/torvalds/linux
flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,https://github.com/flutter/flutter
gitignore,A collection of useful .gitignore templates,https://github.com/github/gitignore
vscode,Visual Studio Code,https://github.com/microsoft/vscode
awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers,https://github.com/awesome-selfhosted/awesome-selfhosted
computer-science,:mortar_board: Path to a free self-taught education in Computer Science!,https://github.com/ossu/computer-science
Auto-GPT,An experimental open-source attempt to make GPT-4 fully autonomous.,https://github.com/Significant-Gravitas/Auto-GPT
Python-100-Days,Python - 100,https://github.com/jackfrued/Python-100-Days
the-art-of-command-line,Master the command line in one page,https://github.com/jlevy/the-art-of-command-line
JavaGuide,Java+ Java Java JavaGuide,https://github.com/Snailclimb/JavaGuide
javascript,JavaScript Style Guide,https://github.com/airbnb/javascript
youtube-dl,Command-line program to download videos from YouTube.com and other video sites,https://github.com/ytdl-org/youtube-dl
fucking-algorithm,labuladong English version supported! Crack LeetCode not only how but also why.,https://github.com/labuladong/fucking-algorithm
project-based-learning,Curated list of project-based tutorials,https://github.com/practical-tutorials/project-based-learning
30-seconds-of-code,Short code snippets for all your development needs,https://github.com/30-seconds/30-seconds-of-code
go,The Go programming language,https://github.com/golang/go
transformers,Transformers: State-of-the-art Machine Learning for Pytorch TensorFlow and JAX.,https://github.com/huggingface/transformers
react-native,A framework for building native applications using React,https://github.com/facebook/react-native
next.js,The React Framework,https://github.com/vercel/next.js
electron,:electron: Build cross-platform desktop apps with JavaScript HTML and CSS,https://github.com/electron/electron
awesome-go,A curated list of awesome Go frameworks libraries and software,https://github.com/avelino/awesome-go
the-book-of-secret-knowledge,A collection of inspiring lists manuals cheatsheets blogs hacks one-liners cli/web tools and more.,https://github.com/trimstray/the-book-of-secret-knowledge
d3,Bring data to life with SVG Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:,https://github.com/d3/d3
free-programming-books-zh_CN,:books:,https://github.com/justjavac/free-programming-books-zh_CN
stable-diffusion-webui,Stable Diffusion web UI,https://github.com/AUTOMATIC1111/stable-diffusion-webui
kubernetes,Production-Grade Container Scheduling and Management,https://github.com/kubernetes/kubernetes
axios,Promise based HTTP client for the browser and node.js,https://github.com/axios/axios
create-react-app,Set up a modern web app by running one command.,https://github.com/facebook/create-react-app
node,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:,https://github.com/nodejs/node
PowerToys,Windows system utilities to maximize productivity,https://github.com/microsoft/PowerToys
tech-interview-handbook,Curated coding interview preparation materials for busy software engineers,https://github.com/yangshun/tech-interview-handbook
three.js,JavaScript 3D Library.,https://github.com/mrdoob/three.js
TypeScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,https://github.com/microsoft/TypeScript
nodebestpractices,:white_check_mark: The Node.js best practices list (July 2023),https://github.com/goldbergyoni/nodebestpractices
scrcpy,Display and control your Android device,https://github.com/Genymobile/scrcpy
deno,A modern runtime for JavaScript and TypeScript.,https://github.com/denoland/deno
terminal,The new Windows Terminal and the original Windows console host all in the same place!,https://github.com/microsoft/terminal
angular,The modern web developers platform,https://github.com/angular/angular
awesome-chatgpt-prompts,This repo includes ChatGPT prompt curation to use ChatGPT better.,https://github.com/f/awesome-chatgpt-prompts
material-ui,MUI Core: Ready-to-use foundational React components free forever. It includes Material UI which implements Google's Material Design.,https://github.com/mui/material-ui
ant-design,An enterprise-class UI design language and React UI library,https://github.com/ant-design/ant-design
clean-code-javascript,:bathtub: Clean Code concepts adapted for JavaScript,https://github.com/ryanmcdermott/clean-code-javascript
rust,Empowering everyone to build reliable and efficient software.,https://github.com/rust-lang/rust
puppeteer,Node.js API for Chrome,https://github.com/puppeteer/puppeteer
vue-element-admin,:tada: A magical vue admin https://panjiachen.github.io/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin
java-design-patterns,Design patterns implemented in Java,https://github.com/iluwatar/java-design-patterns
storybook,Storybook is a frontend workshop for building UI components and pages in isolation. Made for UI development testing and documentation.,https://github.com/storybookjs/storybook
thefuck,Magnificent app which corrects your previous console command.,https://github.com/nvbn/thefuck
animate.css,A cross-browser library of CSS animations. As easy to use as an easy thing.,https://github.com/animate-css/animate.css
